Indicator,Group,State,Subgroup,Time Period,Time Period Start Date,Time Period End Date,Value
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,United States,13,2020-08-19,2020-08-31,19.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,13,2020-08-19,2020-08-31,18.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,13,2020-08-19,2020-08-31,18.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,13,2020-08-19,2020-08-31,20.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,13,2020-08-19,2020-08-31,21.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,13,2020-08-19,2020-08-31,19.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,13,2020-08-19,2020-08-31,18.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,13,2020-08-19,2020-08-31,13.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Gender,United States,Male,13,2020-08-19,2020-08-31,13.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Gender,United States,Female,13,2020-08-19,2020-08-31,24.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,13,2020-08-19,2020-08-31,11.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,13,2020-08-19,2020-08-31,33.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,13,2020-08-19,2020-08-31,13.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",13,2020-08-19,2020-08-31,22.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",13,2020-08-19,2020-08-31,12.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",13,2020-08-19,2020-08-31,8.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",13,2020-08-19,2020-08-31,22.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,13,2020-08-19,2020-08-31,17.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,13,2020-08-19,2020-08-31,18.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Some college/Associate's degree,13,2020-08-19,2020-08-31,21.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,13,2020-08-19,2020-08-31,19.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,13,2020-08-19,2020-08-31,22.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,13,2020-08-19,2020-08-31,16.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arizona,Arizona,13,2020-08-19,2020-08-31,18.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,13,2020-08-19,2020-08-31,24.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,13,2020-08-19,2020-08-31,15.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,13,2020-08-19,2020-08-31,17.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,13,2020-08-19,2020-08-31,18.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,13,2020-08-19,2020-08-31,19.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,13,2020-08-19,2020-08-31,18.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,13,2020-08-19,2020-08-31,19.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,13,2020-08-19,2020-08-31,21.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,13,2020-08-19,2020-08-31,12.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Idaho,Idaho,13,2020-08-19,2020-08-31,22.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Illinois,Illinois,13,2020-08-19,2020-08-31,17.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,13,2020-08-19,2020-08-31,23.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,13,2020-08-19,2020-08-31,23.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,13,2020-08-19,2020-08-31,21.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,13,2020-08-19,2020-08-31,26.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,13,2020-08-19,2020-08-31,23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maine,Maine,13,2020-08-19,2020-08-31,23.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,13,2020-08-19,2020-08-31,17.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Massachusetts,Massachusetts,13,2020-08-19,2020-08-31,19.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Michigan,Michigan,13,2020-08-19,2020-08-31,20.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Minnesota,Minnesota,13,2020-08-19,2020-08-31,20.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,13,2020-08-19,2020-08-31,20.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,13,2020-08-19,2020-08-31,23.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,13,2020-08-19,2020-08-31,18.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nebraska,Nebraska,13,2020-08-19,2020-08-31,23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,13,2020-08-19,2020-08-31,15.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,13,2020-08-19,2020-08-31,21.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,13,2020-08-19,2020-08-31,18.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,13,2020-08-19,2020-08-31,18.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,13,2020-08-19,2020-08-31,17.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,13,2020-08-19,2020-08-31,19.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,13,2020-08-19,2020-08-31,19.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Ohio,Ohio,13,2020-08-19,2020-08-31,21.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,13,2020-08-19,2020-08-31,21.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,13,2020-08-19,2020-08-31,22.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,13,2020-08-19,2020-08-31,22.1
